,user,username
1805,874423599343562755,HealthCareVoter
1820,1693184807327375360,osphcda
1824,544389588,WHOAFRO
1825,364860211,moira228
1852,1284825856523853824,culo_ur
1857,15883471,uric83
1865,244252836,ttsorg
1867,82689705,newrepublic
1871,954942414208360450,goddessdahyliya
1878,219141142,SawyerHackett
1888,980716404,katiewr31413491
1905,17792890,FitzProv
1912,1815264274413182976,thetiptopmagoo
1917,887847250340315136,MichaelSCollura
1934,1518786886252306432,TexasGammyKC
1939,18553103,CamdenCouncil
1940,1659428439752056832,DorothyDixer12
1949,581465411,dustsceawung7
1985,843282157,Healthyram
1989,201729872,InformedOps
1996,249350217,McGilluMedia
2002,1775382555073642496,GamesEarlPwns
2019,1473908726285410305,hi_ghostyghost
2026,1505735334,Catherineoscopy
2033,43351262,CTVKitchener
2039,2192422428,bamasonmd
2040,96196082,zubinashara
2041,1322624608642703360,justtheinserts
2059,1036235692672798720,MeaslesWatch
2072,1465347964252180493,P_McCulloughMD
2089,1815152501445832704,Marta1255307
2090,2764170232,agreatdayinnc
2093,627974752,KristenEskow
2095,63177215,mtlgazette
2096,228599943,PurohitSanjeet
2125,1753023369816018944,CWINS_OFFICIAL
2126,1449097000247443457,fvalstounge
2129,14173315,NBCNews
2133,1838748279187656704,MikeHoward78549
2145,1820351976099778560,iVaxConcepcion
2152,1560155798046511105,toobaffled
2158,2340988752,Elisaabby1
2189,60514666,Focus_Taiwan
2204,1557875431612760069,CsbWorlds
2207,560245168,NHSDorset
2230,52770751,NightShiftMD
2238,1567927294995435521,zara1369
2280,879388079055884288,DGilesPhd
2287,492736486,alandrummond2
2307,4532748434,Srb1970Rita
2317,612473,BBCNews
2319,18527874,13wmaznews
2327,1328445874385674240,DanielBurdine
2342,1195418893,LauraMcKee_fyeh
2346,281375654,annie_sparrow
2347,1519138246088970240,PMtalking
2349,2704294333,DeItaone
2365,1266621060,ddnewsSrinagar
2410,132726058,drtexdi
2417,25979455,NationAfrica
2421,1457872706871959562,AnnMarieBell369
2424,1684401112449957889,ThailandMedicaX
2438,14499829,WHO
2444,55060090,realTuckFrumper
2450,28785486,ABC
2451,914916125409927175,waitforpolly
2470,233757665,JoeVeyera
2506,44753933,Timtim66
2510,1613221181179498514,remistargirlsax
2519,1238822662346080256,AudreySeawood
2524,1638513797512953856,DeePeanuts
2529,1587537181765033985,BellaBennieEnzo
2538,19665244,boston25
2540,18065266,mcgillu
2554,20280088,MacFarlaneNews
2594,598425212,RegularWIGuy
2595,1002918445,AmbulanceNAS
2597,983267785177518080,VaccinesKenya
2603,1637221339,averysickpup
2606,1145305778154287104,degrasse_l
2614,14294848,snopes
2617,48476482,africarenewal
2626,816210054,eduneret
2660,2565865626,GlobalPHObserv
2663,1289991425036345346,marlene4719
2668,9164672,SavannahNow
2683,79997777,aekeroma
2686,41849175,ChildPleez007
2690,15791186,KHOU
2732,360743972,BrandyZadrozny
2737,395159909,RossFeingold
2750,218325695,Bencjacobs
2752,2747973720,VikingFBR
2763,564325710,AKMamaGrizzly
2799,1497414845653733377,TinaMF1
2810,1355347989821186058,imUrB00gieman
2827,1499962632,HansonFamFarm
2830,1203204962039152640,foundring1
2835,350151079,MichelleLCSWR
2837,19438483,HitsBristol
2843,2959081271,StopTheShots321
